,source,target,type,url,content
192,CITEOS,VIZZIA,a pour client,https://www.vizzia.com/nos-references,
193,CITYPROTECT,AN2V,est membre,https://an2v.org/membres/,
194,CNM INTERNATIONAL,AN2V,est membre,https://an2v.org/membres/,
195,COJITECH,AN2V,est membre,https://an2v.org/membres/,
196,COMMEND,AN2V,est membre,https://an2v.org/membres/,
197,CONECTIS BY REXEL,AN2V,est membre,https://an2v.org/membres/,
198,DAHUA,AN2V,est membre,https://an2v.org/membres/,
199,DAHUA,PERIFEM,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=321702755,
200,DALKIA ELECTROTECHNIC CITELUM,AN2V,est membre,https://an2v.org/membres/,
201,DALLMEIER ELECTRONIC,AN2V,est membre,https://an2v.org/membres/,
202,DERICHEBOURG – TECHNOLOGIES,AN2V,est membre,https://an2v.org/membres/,
203,DETER SYSTEM,AN2V,est membre,https://an2v.org/membres/,
204,DISAITEK,UGAP,est fourni par,https://www.ugap.fr/disaitek-f19394,
205,EBOO SOLUTIONS,AN2V,est membre,https://an2v.org/membres/,
206,E-CONEX,AN2V,est membre,https://an2v.org/membres/,
207,ECONNECT,GENETEC,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/econnect,
208,ECONNECT,reconnaissance faciale,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/econnect,
209,EGIDIUM,VMS - hyperviseur,fonctionnalité,,
210,EGIDIUM,WINTICS,fonctionne avec,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
211,EGIDIUM,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722,
212,EIFFAGE ENERGIE SYSTEMES,AN2V,est membre,https://an2v.org/membres/,
213,EIZO France,AN2V,est membre,https://an2v.org/membres/,
214,EQUANS,AN2V,est membre,https://an2v.org/membres/,
215,EQUANS,UGAP,est fourni par,https://www.ugap.fr/ineo-f19771,
216,EQUANS,MILESTONE,est intégrateur de,https://www.ugap.fr/editeurs-logiciels/ineo-tinea-f19771,
217,EQUANS,BOUYGUES,a pour actionnaire,https://www.equans.fr/nous-decouvrir/qui-sommes-nous/histoire,
218,EQUANS,interconnexion vidéo,fonctionnalité,https://www.ugap.fr/editeurs-logiciels/ineo-tinea-f19771,
219,EQUANS,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722,
220,EQUANS,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=892318312|https://www.hatvp.fr/fiche-organisation/?organisation=572015246#&fiche=0VES6OEH,
221,ERYMA,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722,
222,ERYMA / SOGETREL,AN2V,est membre,https://an2v.org/membres/,
223,EVIDEN,AN2V,est membre,https://an2v.org/membres/,
224,EVIDEN,GICAN,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=784360109,
225,EVITECH,AN2V,est membre,https://an2v.org/membres/,
226,FAIRVIEW,AN2V,est membre,https://an2v.org/membres/,
227,FEEDER,AN2V,est membre,https://an2v.org/membres/,
228,FIDUCIAL SECURITE,AN2V,est membre,https://an2v.org/membres/,
229,FIDUCIAL SECURITE,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722,
230,FORMIND,AN2V,est membre,https://an2v.org/membres/,
231,FOXSTREAM,AN2V,est membre,https://an2v.org/membres/,
232,FRANCOFA-EURODIS,AN2V,est membre,https://an2v.org/membres/,
233,GAARD,AN2V,est membre,https://an2v.org/membres/,
234,GAVEAU A.M.O.,AN2V,est membre,https://an2v.org/membres/,
235,GEMALTO,reconnaissance faciale,fonctionnalité,https://www2.assemblee-nationale.fr/content/download/82754/922439/version/1/file/Note+Scientifique+-+Reconnaissance+Faciale+-+VF+19072019.pdf,
236,GEMALTO,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=502999626#&fiche=19V0ML5H,
237,GENETEC,PERIFEM,est membre de,https://www.hatvp.fr/fiche-organisation/?organisation=321702755,
238,GENETEC,VMS - hyperviseur,fonctionnalité,,
239,GENETEC,WINTICS,fonctionne avec,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
240,GENETEC,XXII GROUP,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/xxii,
241,GENETEC,ULTINOUS,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/ultinous,
242,GENETEC,VIISIGHTS,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/viisights,
243,GENETEC,ONEBERRY,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/oneberry,
244,GENETEC,VAIDIO,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/ironyun/vaidio,
245,GENETEC,OMNILERT,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/omnilert/omnilert-gun-detect,
246,GENETEC,I-PRO,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/i-pro/activeguard,
247,GIORDANA INGENIERIE,AN2V,est membre,https://an2v.org/membres/,
248,GOSECURE,AN2V,est membre,https://an2v.org/membres/,
249,GROUPE PERIN SÉCURITÉ,AN2V,est membre,https://an2v.org/membres/,
250,GROUPE PERIN SÉCURITÉ,PERIFEM,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=321702755,
251,HANWHA TECHWIN,AN2V,est membre,https://an2v.org/membres/,
252,HANWHA TECHWIN,PERIFEM,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=321702755,
253,HARPER INGENIERIE,AN2V,est membre,https://an2v.org/membres/,
254,HCD,AN2V,est membre,https://an2v.org/membres/,
255,HIKVISION,AN2V,est membre,https://an2v.org/membres/,
256,HIKVISION,PERIFEM,est membre de,https://www.hatvp.fr/fiche-organisation/?organisation=321702755,
257,HIKVISION,cameras,est fabriquant de,https://www.hikvision.com/fr/core-technologies/ai-analytics/facial-recognition/,
258,HUAWEI,ville de Valenciennes,est utilisé par,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/cion-cedu/l16cion-cedu2223034_compte-rendu,
259,IBS’ON,AN2V,est membre,https://an2v.org/membres/,
260,IDEMIA,reconnaissance faciale,fonctionnalité,https://www2.assemblee-nationale.fr/content/download/82754/922439/version/1/file/Note+Scientifique+-+Reconnaissance+Faciale+-+VF+19072019.pdf,
261,IDEMIA,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=340709534#&fiche=DVSJ8S8V,
262,IDEMIA IDENTITY SECURITY,UGAP,est fourni par,https://www.ugap.fr/idemia-f17257,
263,IDEMIA IDENTITY SECURITY,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722,
264,IER,UGAP,est fourni par,https://www.ugap.fr/impression-f2137,
265,IER,BOLLORE,a pour actionnaire,https://www.ugap.fr/impression-f2137,
266,IER,verbalisation électronique,fonctionnalité,https://www.ugap.fr/impression-f2137,
267,IFOTEC,AN2V,est membre,https://an2v.org/membres/,
268,INCORESOFT,MILESTONE,fonctionne avec,https://www.milestonesys.com/technology-partner-finder/incoresoft-llc/vezha-gender-and-age-detection/,
269,INCORESOFT,reconnaissance faciale,fonctionnalité,https://incoresoft.com/products/face-recognition/,
270,INFINOVA,cameras,est fabriquant de,https://issuu.com/securitymiddleeastmagazine/docs/sme_jan_feb_2019_web2/32,
271,INKIVARI,AN2V,est membre,https://an2v.org/membres/,
272,INLO,AN2V,est membre,https://an2v.org/membres/,
273,INOA SOLUTIONS,AN2V,est membre,https://an2v.org/membres/,
274,INVISSYS,AN2V,est membre,https://an2v.org/membres/,
275,IPARTNER,UGAP,est fourni par,https://www.ugap.fr/ipartner-f19445,
276,IPARTNER,vidéo verbalisation,fonctionnalité,fiche_19445_Fiche_produit_IPARTNER_VIDEOVERBALISATION_FR.pdf|fiche_19445_Fiche_produit_IPARTNER_DUTYLOG_FR.pdf,
277,IPARTNER,VMS - hyperviseur,fonctionnalité,https://www.ugap.fr/ipartner-f19445,
278,IPARTNER,MILESTONE,fonctionne avec,fiche_19445_Fiche_produit_IPARTNER_DATACONNECTOR_FR.pdf,
279,I-PRO,AN2V,est membre,https://an2v.org/membres/,
280,I-PRO,MILESTONE,fonctionne avec,https://www.milestonesys.com/fr/technology-partner-finder/i-pro--co.-ltd/i-pro-active-guard-plug-in-for-xprotect/,
281,I-PRO,Analyse vidéo,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/i-pro/activeguard,
282,I-PRO,reconnaissance faciale,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/i-pro/activeguard,
283,IPSOTEK,MILESTONE,fonctionne avec,https://www.milestonesys.com/technology-partner-finder/ipsotek-an-eviden-business/ipsotek-visuite-ai-video-analytics/,
284,IPSOTEK,VSA,fonctionnalité,https://www.milestonesys.com/technology-partner-finder/ipsotek-an-eviden-business/ipsotek-visuite-ai-video-analytics/,
285,ISS PARTNERS,AN2V,est membre,https://an2v.org/membres/,
286,JF SULZER CONSEIL,AN2V,est membre,https://an2v.org/membres/,
287,JOHN COCKERILL DEFENSE,AN2V,est membre,https://an2v.org/membres/,
288,JOHN COCKERILL DEFENSE,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722,
289,JUST DO IP,AN2V,est membre,https://an2v.org/membres/,
290,LA ROBE NUMERIQUE,AN2V,est membre,https://an2v.org/membres/,
291,LILATECH,AN2V,est membre,https://an2v.org/membres/,
292,LM INGENIERIE,AN2V,est membre,https://an2v.org/membres/,
293,LOGIROAD,UGAP,est fourni par,https://www.ugap.fr/logiroad-f17530,
294,LOOPGRADE,AN2V,est membre,https://an2v.org/membres/,
295,LOSANGE,AN2V,est membre,https://an2v.org/membres/,
296,LUMATECH SOLUTIONS & SERVICES,AN2V,est membre,https://an2v.org/membres/,
297,MIDGARD,UGAP,est fourni par,https://www.ugap.fr/midgard-f19346,
298,MILEO TECHNOLOGY,AN2V,est membre,https://an2v.org/membres/,
299,MILESTONE,UGAP,est fourni par,https://www.ugap.fr/milestone-f17070,
300,MILESTONE,VMS - hyperviseur,fonctionnalité,fiche_17070_Milestone_présentation.pdf,
301,MILESTONE,WINTICS,fonctionne avec,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
302,MILESTONE,XXII GROUP,fonctionne avec,https://www.milestonesys.com/technology-partner-finder/xxii/core/,
303,MILESTONE,VIISIGHTS,fonctionne avec,https://www.milestonesys.com/technology-partner-finder/viisights/viisights-wise-covid-19-plugin/,
304,MILESTONE,CANON,a pour actionnaire,fiche_17070_Milestone_présentation.pdf,
305,MOTOROLA SOLUTIONS,AN2V,est membre,https://an2v.org/membres/,
306,NEOVYA MOBILITY BY TECHNOLOGY,UGAP,est fourni par,https://www.ugap.fr/neovya-f19341,
307,NETWORK OPTIX,AN2V,est membre,https://an2v.org/membres/,
308,NEURONALYS,AN2V,est membre,https://an2v.org/membres/,
309,NGE CONNECT,AN2V,est membre,https://an2v.org/membres/,
310,OBS-EVIDENT,Marché JOP,a candidaté,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information,
311,O’MALLEY CONSULTING,AN2V,est membre,https://an2v.org/membres/,
312,OMNILERT,VSA,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/omnilert/omnilert-gun-detect,
313,OMNITECH SECURITY,AN2V,est membre,https://an2v.org/membres/,
314,ONDO ENERGIES,AN2V,est membre,https://an2v.org/membres/,
315,ONEBERRY,VSA,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/oneberry,
316,ONET SECURITE SYSTEMES,AN2V,est membre,https://an2v.org/membres/,
317,OPTEX SECURITY,AN2V,est membre,https://an2v.org/membres/,
318,OPTIMEX DATA,AN2V,est membre,https://an2v.org/membres/,
319,ORKIS,UGAP,est fourni par,https://www.ugap.fr/orkis-f16844,
320,ORKIS,reconnaissance faciale,fonctionnalité,https://www.ugap.fr/orkis-f16844,
321,PA CONSEIL,AN2V,est membre,https://an2v.org/membres/,
322,PASCAL MEHEUX,AN2V,est membre,https://an2v.org/membres/,
323,PELCO,cameras,est fabriquant de,https://www.pelco.com/partners/technical-partners/videoxpert-integrations/nevalabs-videoxpert-integration,
324,PNY TECHNOLOGIES,AN2V,est membre,https://an2v.org/membres/,
325,PROCONSULTING,AN2V,est membre,https://an2v.org/membres/,
326,PRYNTEC – GROUPE TEB,AN2V,est membre,https://an2v.org/membres/,
327,PRYSM,VMS - hyperviseur,fonctionnalité,,
328,PRYSM,WINTICS,fonctionne avec,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
329,PRYSM SOFTWARE,AN2V,est membre,https://an2v.org/membres/,
330,RECONEYEZ,AN2V,est membre,https://an2v.org/membres/,
331,RESO,AN2V,est membre,https://an2v.org/membres/,
332,RISÔM,AN2V,est membre,https://an2v.org/membres/,
333,RIVIERA PERFORMANCE CONSULTING,AN2V,est membre,https://an2v.org/membres/,
334,SDCT,AN2V,est membre,https://an2v.org/membres/,
335,SECURE CONSEIL,AN2V,est membre,https://an2v.org/membres/,
336,SECURE SYSTEMS & SERVICES,AN2V,est membre,https://an2v.org/membres/,
337,SECURITON,AN2V,est membre,https://an2v.org/membres/,
338,SERENICITY,AN2V,est membre,https://an2v.org/membres/,
339,SERENICITY,Cyber Task Force,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=818007288#&fiche=DHMZ5MSV,
340,SERFIM T.I.C.,AN2V,est membre,https://an2v.org/membres/,
341,SERIS SECURITY,AN2V,est membre,https://an2v.org/membres/,
342,SERIS SECURITY,PERIFEM,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=321702755,
343,SFC ENERGY AG,AN2V,est membre,https://an2v.org/membres/,
344,SIALERT / SENSIVIC,AN2V,est membre,https://an2v.org/membres/,
345,SIEMENS,AN2V,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=562016774,
346,SIMONS VOSS TECHNOLOGIES,AN2V,est membre,https://an2v.org/membres/,
347,SIMPLE HELP,AN2V,est membre,https://an2v.org/membres/,
348,SIRADEL,UGAP,est fourni par,https://www.ugap.fr/siradel-f19859,
349,SLAT,AN2V,est membre,https://an2v.org/membres/,
350,SNEF,AN2V,est membre,https://an2v.org/membres/,
351,SNEF,UGAP,est fourni par,https://www.ugap.fr/snef-f7150,
352,SNEF,HATVP,fait du lobbbying,https://www.hatvp.fr/fiche-organisation/?organisation=537519449|https://www.hatvp.fr/fiche-organisation/?organisation=793795352#&fiche=LV1D00N3,
353,SOBECA GROUPE FIRALP,AN2V,est membre,https://an2v.org/membres/,
354,SPIE CITYNETWORKS,AN2V,est membre,https://an2v.org/membres/,
355,STALICO-GR TECHNICS,AN2V,est membre,https://an2v.org/membres/,"Immeuble « Le Périphérique »
11, avenue des Vieux Moulins 
74000 ANNECY"
356,STANDBY,AN2V,est membre,https://an2v.org/membres/,
357,STID,AN2V,est membre,https://an2v.org/membres/,
358,STRATEGIE CONCEPT,AN2V,est membre,https://an2v.org/membres/,
359,SUR&TIS REGIONS,AN2V,est membre,https://an2v.org/membres/,
360,SURVISION,AN2V,est membre,https://an2v.org/membres/,
361,SYNOLOGY,AN2V,est membre,https://an2v.org/membres/,
362,SYPULSE,AN2V,est membre,https://an2v.org/membres/,
363,TACTIS,AN2V,est membre,https://an2v.org/membres/,
364,TATTILE,AN2V,est membre,https://an2v.org/membres/,
365,TECHNIMAST,AN2V,est membre,https://an2v.org/membres/,
366,THALES,Safe city,fonctionnalité,https://www.defense-92.fr/securite/thales-veut-rendre-le-quartier-de-la-defense-plus-sur-avec-sa-solution-safe-city-51211,
367,THALES,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722,
368,THALES,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=552059024,
369,THEMYS,VIDEOTECH,a pour client,https://www.themysgroup.com/details-videosurveillance+cameras-154.html,
370,THEMYS,GICAN,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=784360109,
371,TRACOR,AN2V,est membre,https://an2v.org/membres/,
372,TRANSOFT SOLUTIONS,UGAP,est fourni par,https://www.ugap.fr/transoft-f18806,
373,TWO-I,AN2V,est membre,https://an2v.org/membres/,
374,TWO-I,reconnaissance faciale,fonctionnalité,https://www.mediapart.fr/journal/france/300724/en-catimini-saint-denis-achete-un-logiciel-de-surveillance-algorithmique,
375,ULTINOUS,VSA,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/ultinous/ai-suite,
376,UNI-SAT,AN2V,est membre,https://an2v.org/membres/,
377,VAIDIO,VSA,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/ironyun/vaidio,
378,VDSYS,AN2V,est membre,https://an2v.org/membres/,
379,VEESION,HATVP,fait du lobbying,https://www.hatvp.fr/le-repertoire/repertoire-resultats-activites/?searchbox=%22veesion%22,
380,VEESION,PERIFEM,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=321702755,
381,VERKADA,AN2V,est membre,https://an2v.org/membres/,
382,VIDEOTECH,cameras,est fabriquant de,https://www.themysgroup.com/details-videosurveillance+cameras-154.html,
383,VIDETICS,AN2V,est membre,https://an2v.org/membres/,
384,VIDETICS,Marché JOP,a candidaté,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information,
385,VIDETICS,UGAP,est fourni par,https://www.ugap.fr/editeurs-logiciels/videtics-f30434,
386,VIDETICS,VSA,fonctionnalité,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information#_ftnref221,
387,VIISIGHTS,VSA,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/viisights,
388,VIZZIA,AN2V,est membre,https://an2v.org/membres/,
389,VIZZIA,UGAP,est fourni par,https://www.ugap.fr/editeurs-logiciels/alphaiota-vizzia-f31826,
390,VIZZIA,VSA,fonctionnalité,https://mamot.fr/@LaQuadrature/113401936237955107,
391,VXCORE – MA2,AN2V,est membre,https://an2v.org/membres/,
392,WARYME,AN2V,est membre,https://an2v.org/membres/,
393,WINTICS,AN2V,est membre,https://an2v.org/membres/,
394,WINTICS,Eiffage,est sous-traitant de,https://www.senat.fr/rap/r24-447/r24-447_mono.html,
395,WINTICS,Marché JOP,a candidaté,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information,
396,WINTICS,UGAP,est fourni par,https://www.ugap.fr/wintics-fiche_19383,
397,WINTICS,Vinci,est sous-traitant de,https://www.senat.fr/rap/r24-447/r24-447_mono.html,
398,WINTICS,VSA,fonctionnalité non fonctionnelle,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information#_ftnref221,
399,XP-GUYON,AN2V,est membre,https://an2v.org/membres/,
400,XXII GROUP,AN2V,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=810761783,
401,XXII GROUP,reconnaissance faciale,fonctionnalité,https://www2.assemblee-nationale.fr/content/download/82754/922439/version/1/file/Note+Scientifique+-+Reconnaissance+Faciale+-+VF+19072019.pdf,
402,XXII GROUP,UGAP,est fourni par,https://www.ugap.fr/xxii-f17412,
403,XXII GROUP,VSA,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/xxii/xxiicore,
404,XXII GROUP,CMA CGM,a pour actionnaire,"https://www.lalettre.fr/fr/entreprises/2024/11/13/cma-cgm-entre-au-capital-de-la-start-up-xxii,110339136-bre",
405,XXII GROUP,HATVP,fait du lobbying,https://www.hatvp.fr/le-repertoire/repertoire-resultats-activites/?searchbox=%22XXII%22,
406,AN2V,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=479807810##,
407,AN2V,CICS,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=829519289,
408,PERIFEM,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=321702755#&fiche=QV7TJTFH,
409,CANON,HATVP,fait du lobbbying,https://www.hatvp.fr/fiche-organisation/?organisation=901812255#&fiche=0V2A7BOV,
